"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"EU_ROHS_COMPLIANCE";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"DIODES INC.";"";"1N4007-T";"";"12T2304";"";"82";"";"";"";
"D2";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"DIODES INC.";"";"1N4007-T";"";"12T2304";"";"82";"";"";"";
"D3";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"DIODES INC.";"";"1N4007-T";"";"12T2304";"";"82";"";"";"";
"D4";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"DIODES INC.";"";"1N4007-T";"";"12T2304";"";"82";"";"";"";
"J6";"1776112-2";"1776112-2";"TE_1776112-2";"Check availability";"In Stock";"1776112-2";" 2P,3.50MM,SIDE ENTRY,HIGH TMP ";"Compliant";"AMP - TE CONNECTIVITY";"1776112-2";"1776112-2";"";"41AJ4617";"None";"";"None";"https://pricing.snapeda.com/search/part/1776112-2/?ref=eda";"";
"J10";"1-282841-2";"1-282841-2";"TE_1-282841-2";"Check availability";"In Stock";"1-282841-2";" 12 Position Wire to Board Terminal Block Horizontal with Board 0.200 (5.08mm) Through Hole ";"Compliant with Exemptions";"AMP - TE CONNECTIVITY";"1-282841-2";"1-282841-2";"";"95Y5159";"None";"";"None";"https://pricing.snapeda.com/search/part/1-282841-2/?ref=eda";"";
"JP1";"";"PINHD-2X4";"2X04";"PIN HEADER";"";"";"";"";"AMP - TE CONNECTIVITY";"";"826634-4";"";"96Y4843";"";"47";"";"";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"DIALIGHT";"";"5988110107F";"";"59M5865";"";"68";"";"";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"DIALIGHT";"";"5988110107F";"";"59M5865";"";"68";"";"";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"DIALIGHT";"";"5988110107F";"";"59M5865";"";"68";"";"";"";
"LED4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"DIALIGHT";"";"5988110107F";"";"59M5865";"";"68";"";"";"";
"OK1";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"";"";"";"BROADCOM";"";"HCPL-817-000E";"9707727";"36J9610";"";"20";"";"";"";
"OK2";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"";"";"";"BROADCOM";"";"HCPL-817-000E";"9707727";"36J9610";"";"20";"";"";"";
"OK3";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"";"";"";"BROADCOM";"";"HCPL-817-000E";"9707727";"36J9610";"";"20";"";"";"";
"OK4";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"";"";"";"BROADCOM";"";"HCPL-817-000E";"9707727";"36J9610";"";"20";"";"";"";
"Q1";"MMBT2222";"MMBT2222";"SOT23-BEC";"NPN Transistor Check availability";"In Stock";"";" Bipolar (BJT) Transistor NPN 30 V 600 mA 250MHz 300 mW Surface Mount SOT-23-3 (TO-236) ";"";"DIODES INC.";"MMBT2222";"MMBT2222A-7-F";"";"51R6809";"SOT-23-3 Fairchild Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/MMBT2222/?ref=eda";"";
"Q2";"MMBT2222";"MMBT2222";"SOT23-BEC";"NPN Transistor Check availability";"In Stock";"";" Bipolar (BJT) Transistor NPN 30 V 600 mA 250MHz 300 mW Surface Mount SOT-23-3 (TO-236) ";"";"DIODES INC.";"MMBT2222";"MMBT2222A-7-F";"";"51R6809";"SOT-23-3 Fairchild Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/MMBT2222/?ref=eda";"";
"Q3";"MMBT2222";"MMBT2222";"SOT23-BEC";"NPN Transistor Check availability";"In Stock";"";" Bipolar (BJT) Transistor NPN 30 V 600 mA 250MHz 300 mW Surface Mount SOT-23-3 (TO-236) ";"";"DIODES INC.";"MMBT2222";"MMBT2222A-7-F";"";"51R6809";"SOT-23-3 Fairchild Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/MMBT2222/?ref=eda";"";
"Q4";"MMBT2222";"MMBT2222";"SOT23-BEC";"NPN Transistor Check availability";"In Stock";"";" Bipolar (BJT) Transistor NPN 30 V 600 mA 250MHz 300 mW Surface Mount SOT-23-3 (TO-236) ";"";"DIODES INC.";"MMBT2222";"MMBT2222A-7-F";"";"51R6809";"SOT-23-3 Fairchild Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/MMBT2222/?ref=eda";"";
"R1";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"YAGEO";"";"AC0402FR-071KL";"";"82AH6426";"";"77";"";"";"R";
"R2";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"YAGEO";"";"AC0402FR-071KL";"";"82AH6426";"";"77";"";"";"R";
"R3";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"YAGEO";"";"AC0402FR-071KL";"";"82AH6426";"";"77";"";"";"R";
"R4";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"YAGEO";"";"AC0402FR-071KL";"";"82AH6426";"";"77";"";"";"R";
"R5";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"YAGEO";"";"AC0402FR-071KL";"";"82AH6426";"";"77";"";"";"R";
"R6";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"YAGEO";"";"AC0402FR-071KL";"";"82AH6426";"";"77";"";"";"R";
"R10";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"YAGEO";"";"AC0402FR-071KL";"";"82AH6426";"";"77";"";"";"R";
